Artist,Artist_id,Song,Song_id
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Weight of Love,3xMQOd1C3TXsjQ3pmzOmkC
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,In Time,39e1gl7VaxuCev5ga7bvNq
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Turn Blue,1pwWrPxonLIE12WWu9NzgU
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Fever,3Hx7RXqCS7Kzjy2ot2q1Gk
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Year in Review,0MV8NQXGDMR0EKX314JlN9
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Bullet In The Brain,2gxnODNtIvc2qdlEVuV1iR
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,It's Up to You Now,4pdxEaljHc3pyiGAipOK2z
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Waiting on Words,7ctca1Hz43SyMcI4qUrpY7
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,10 Lovers,5HPnumlogzZtpLEaORZjz1
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,In Our Prime,3OpoDVx3Ct42RM68Bvffvy
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Gotta Get Away,0zo4T5c5VV42554ySEc5J6
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Keep Your Hands off Her,3hN9WbAjzJYaAiScA4Ui6W
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Have Mercy on Me,61G2H0MgdZwrtUuN2eEOzH
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Work Me,7Ic23jDMJPSo0S4z4CMt8D
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Meet Me in the City,3vq8379mZNJJ26KFFpC0g3
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Nobody but You,1RubuYcu9RBCRSoFcCxq80
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,My Mind Is Ramblin,4DMNus5KulkR7gh6V5jx8U
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Junior's Widow (Faixa Bnus Apenas No Formato Digital),7sPwQBhO2OAnxPJQbfeem9
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Thickfreakness,4zqDwGRQI7l2bY3zPQvZ44
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Hard Row,30llhzZUWTxg7HeoReHsWN
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Set You Free,4ksZcySjabmIpnavgX9gbV
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Midnight in Her Eyes,029Vw92tIP3sSoc2100ZRo
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Have Love Will Travel,5yXcGSNEtSeigOSzijRJzE
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Hurt Like Mine,58cFdnXCGao2Ea4Ez4xmHX
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Everywhere I Go,3xPGxPrvkQfWboJJ1vx7Un
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,No Trust,5ttnqtrqMNawcMcevs6tDI
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,If You See Me,5d18mEDaOezP06EiQfIhFc
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Hold Me in Your Arms,3SW6BXyA3ZuPjxIgjYEFU5
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,I Cry Alone,3QrbVP2yf09aXB0wD86NnT
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Lonely Boy,5G1sTBGbZT5o4PNRc75RKI
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Dead And Gone,3UD4sghkq8dHUwvKxln1nB
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Gold On The Ceiling,5lN1EH25gdiqT1SFALMAq1
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Little Black Submarines,1PXsUXSM3LF2XNSkmIldPb
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Money Maker,1S8PKtVKvJWwOwfQpQxzWV
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Run Right Back,5HgAZuHFAU5qLLMYuIQkgq
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Sister,5LCuFER5mMzL0fGNpClksf
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Hell Of A Season,2ONpXycQzFmWiutUm7vpIC
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Stop Stop,6DnfupwdspmFT2PYRjFH2F
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Nova Baby,5S7kFUo496CoItemffWQb9
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Mind Eraser,0hzBN7DGgtjBsTyZwTTKRS
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Everlasting Light,3OYPskZPKnOcHZ9fUDwmCK
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Next Girl,2vBcPIfazGFDLv760M2AwD
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Tighten Up,3smAYCIyUKT0uiw4HMpIJl
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Howlin' For You,5jdvRj8zXHJ7XpKsBKT9CZ
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,She's Long Gone,096rnp428bZTuaiKcl7bHM
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Black Mud,2kAWNaSO8LjDydclXCojm9
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,The Only One,75yuaBhIpQYjP8crotUN2f
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Too Afraid To Love,6qCCa5sbw39PdEU5GXixnb
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Ten Cent Pistol,3gRi1obTmuDJDEfywBRTEn
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Sinister Kid,1XOPuXMpoo2gQ3LNRr4IJq
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,The Go Getter,0sboN30iAT68TVUCTYADOY
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,I'm Not The One,3Gmt6Ki1tySCY6sXvmnR1Z
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Unknown Brother,4nscYMFkwTDPcR0zCY30O0
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Never Gonna Give You Up,5u4mqaGJWyooZZVtM3ryJx
