Artist,Artist_id,Song,Song_id
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Only Daddy That'll Walk the Line,0snRYhPoIqZIMge2ENRJ9c
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,The Chokin' Kind,6oxYmjXCk7O0N6TmtmUaSQ
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Stop the World (And Let Me Off),0hxCusrnnS8ZmVnaMzCO9G
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,"Anita, You're Dreaming",6GZGlwHSHH3o9NdTF4auVZ
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Just to Satisfy You,5clbtVmyzido2OzcK9bdOS
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Green River,1fhQ3yKPcDYB9DsACwgUzd
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Singer of Sad Songs,7I9AIYKCtvcgRSN4mcser2
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Love of the Common People,4rU4G5ZnMqCzaBhNzcKnwr
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Macarthur Park,09c6fmAd8uvxROSmFHCkx9
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Brown Eyed Handsome Man,0LTRRUFSmGQAY6Tk8mONOH
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Mental Revenge,7fh7JEckwfSrmcLrZkQ1XI
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Time to Bum Again,1cE5raceGa0fkRBY66CAjX
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Sunday Mornin' Comin' Down,0Q86K0NXZ98Cdn8hj0DPoM
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Young Widow Brown,4XNLEghSSUsIh0fss9dBiw
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Foolin' Around,4S44KoOqxscBcnxtd3KFCS
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Burning Memories,3L4ldJYYay3qKpwAmNpl6Q
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Only Daddy That'll Walk the Line,6VcFh0Cca91mydDprlkFcN
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Jolie Blonde,1k4YWfztVAWXqyQXCQ5v3H
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Don't Think Twice,7bBPogm9eDZAl0VdaoQFRX
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Abilene,3wwoGdy45MRZUfqSQHC7VD
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Love of the Common People,3ce2GCctLNbrJm7UfDfp2N
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,That's What You Get for Lovin' Me,3tPNCjBZ2h0KlSnITGryKS
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Heartaches by the Number,3ps49i2LUlMlTQctMDMWH2
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Lorena,3t1OzKZa0VUUpzWfsStsjD
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,White Lightnin,1TTooZIWFP3ZyPNMHnLxI6
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,It's so Easy,7nj8HIwY874ZNrqM3gbjia
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Crying,58D1SRg9JSVIcqpbDWLbOm
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Nine Pound Hammer,5Pt3Ieb5UNkBZScezhwHaK
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,When Sin Stops,1xBIiQZqvE8Z56OMvZiN0f
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Dream Baby,2m1SMe8a9Nga7QM9fbGyXV
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Sally Was a Good Old Girl,5EmGEap1h3CrSR0mIGRHJJ
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Big Mamou,2I4zHp28eb1YMG1goLA2Ya
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Money,43g27ABKbPe7GtIkUj4LCz
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,You're Gonna Wonder About Me,0BUvkBNPlLjhdFFJmla2Bt
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,I Got a Tiger by the Tail,1iZLE1kIKoJGqeOPJfTUM6
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Love's Gonna Live Here,2jx1S8TWiCrGJU2u6IjScI
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Goin' Down Rockin',3GNxGU1AiUzWgYP7jcHj8Q
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Belle Of The Ball,39B8gNBWH1aH8Fi2Vqck5o
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,If My Harley Was Runnin',6ahhyKq6kA8pbcJZvitEhb
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,I Do Believe,28djx6iwOWb7GFMcwF1Iqu
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Friends In California,2DvJKiD6YmqTfUk5zt3x3M
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,The Ways Of The World,3otTZNTCgvnaQwXGW1FzfQ
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Shakin' The Blues,6jf1FuUcQJcEprxVsW77gI
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Never Say Die,0GROWZm3iY2Q4U7DLp4Pdm
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Wastin' Time,1lU3L25cJU9FKqfqoNRuPw
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Sad Songs And Waltzes,3pWAZDeUmxFJme9INqJpXg
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,She Was No Good For Me,0BxwqVIvfqxrpiLxR7NNlw
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Wrong Road To Nashville,11BSuaczgNnVFL5a4scExO
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Don't You Think This Outlaw Bit's Done Got Out Of Hand - Live,3nKASk5vxR0Q5n3C29gTy0
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Clyde - Live,33Aj157rH8MeJdXYxGiTmA
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Amanda - Live,2tuLFjq2udtjdXhGrctN1i
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Just To Satisfy You - Live,1W99nUF7DiFKITGF6tDeaL
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Only Daddy That'll Walk The Line - Live,5nYElPr1c3G8mFtWsr2fGN
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Lucille (You Won't Do Your Daddy's Will) - Live,5oBsRy1nS7R3VE4Ab4Xalp
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,I've Always Been Crazy - Live,1lvVsTvKlTYLjRtVYpkUx6
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Breakin' Down - Live,14YJFhGVNdqfkc4Iqxhpe4
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,"Lonesome, Or'ny And Mean - Live",0ysuYWM2L2rQnaOGRcCxJ9
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Jack-A-Diamonds - Live,0x6WrJ5RJE80jzb6JwKC9X
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Theme From The Dukes of Hazzard (Good Ol' Boys) - Live,2beBsPKiCWygRLyQ0SpTxu
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Storms Never Last - Live,5Q1GcvQ2uyr4g5wkArxczq
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Are You Sure Hank Done It This Way - Live,3s5tom5vBUV2cZpBaAXXQF
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Rainy Day Woman - Live,2bk8ZPgC2jX37iBFXth1Wi
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Women Do Know How To Carry On - Live,5wLRsqpVFfYGSIfs9IZG4O
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,I Ain't Livin' Long Like This - Live,2uv9t3qTDO3neYliVH59zc
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Good Hearted Woman - Live,6SgKVs4XwEa9hIv2b2QrkV
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,Honky Tonk Heroes - Live,3KXQG98N98aeXlJJmIGobl
Waylon Jennings,7wCjDgV6nqBsHguQXPAaIM,"Luckenback, Texas (Back To The Basics Of Love) - Live",6kYW8mf2dOGE7vBqE6oVjq
