Artist,Artist_id,Song,Song_id
Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,Miss Alissa,1dlgaGdQXmsYKMRuewIZkF
Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,"Blinded By The Light - From ""Super Troopers 2"" Soundtrack",3kgtj0csPcN5uqPyEObXu9
Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,Save A Prayer,3NA45jwwGH28LsHthauYK0
Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,Wannabe In L.A,68HGqHHc41qmJHUWlLUKCd
Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,I Only Want You,5D1oPeuU4sGUwI5obM4bKZ
Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,Complexity,5qVPF3mjUkGSLda9ISeWjF
Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,I Love You All The Time,7ssQxOFhJk4RGqTobVfjPN
Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,Don't Speak (I Came To Make A Bang!),32I9MdnqhFLCnAwA2wUnTz
Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,Speaking in Tongues,7bUrudG40BOEGglkNtU1h3
Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,Silverlake (K.S.O.F.M.),5TC5b2EcdLDYpT8xvR6FTw
