Artist,Artist_id,Song,Song_id
Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,Play It Again,03fT3OHB9KyMtGMt2zwqCT
Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,"Sunrise, Sunburn, Sunset",53yTYusPQJ1AApL1hi0Dnc
Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,What Makes You Country,3bDXhWsPiFTHtrsMg5faL2
Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,Country Girl (Shake It For Me),0yD66650JxhqKbW76C2qCo
Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,Most People Are Good,79LAFAkR1ATb4iIQvZuCL0
Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,Light It Up,5w3NgfV8v1nNZFLUBlGHIL
Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,That's My Kind Of Night,5HGibWoxnkYSkl6mHmAlOE
Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,"Huntin', Fishin' And Lovin' Every Day",0dbzWSYpMcRtwjI1S7Pkql
Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,Kick The Dust Up,5g15o2Sm55Hn9ShK5yEXgp
Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,Strip It Down,5XFu5S1vBY7sNHlheCapOz
