Artist,Artist_id,Song,Song_id
Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Corcovado,7KsQssGg3DaovFkd9Kbnc6
Stan Getz,0FMucZsEnCxs5pqBjHjIc8,The Girl From Ipanema,6n50vexd6yBNvSOc6QHT5X
Stan Getz,0FMucZsEnCxs5pqBjHjIc8,A Nightingale Sang In Berkeley Square,1xaTXPoDk4VOU9XhYX4KJM
Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Who Could Care?,1kBKndNFG5Um2DK87FYk1m
Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Para Machuchar Meu Coracao,0Ontg8IFYkZQVksolaj6ss
Stan Getz,0FMucZsEnCxs5pqBjHjIc8,S Dano Samba,1pyGUGxLVZcWrwpQ8AJxaq
Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Misty,4Mdo6FZj42vID4oDi6P4ZW
Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Desafinado,2Wh1Lm588xTmLnJiJzPJV2
Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Moonlight In Vermont,53Hnhi1w4WCuEniACsckUQ
Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Corcovado (Quiet Nights Of Quiet Stars) - Single Version,21qbOwx9gLQoSY0O8KMMZm
