Artist,Artist_id,Song,Song_id
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,If You Know You Know,6bGwKHXHNLmTy6yt147FPh
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,The Games We Play,7iEoaTyBCqLaAwJnOP1BTn
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Good Goodbye (feat. Pusha T and Stormzy),650OeHTLxZAQmb4aEbGmaA
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,What Would Meek Do?,5vnuJ8EopkP5dHukpOmT3L
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Santeria,4LKSaRoKNnlpKXTT663BrT
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Come Back Baby,2BuBXn15gj4MNYZydyWgrk
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Trouble On My Mind,2ztyTz3H928W2bVb9qXBlB
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Hard Piano,3HgA5R5alihocnOYE9ihpS
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Don't Like.1 - Album Version (Edited),51mK2xGop7WMDVeuHLvhWP
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Mercy.1 - Album Version (Edited),0nh1o1936u4X7MaatN56j8
