Artist,Artist_id,Song,Song_id
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,I Will Follow You Into The Dark,3kZC0ZmFWrEHdUCmUqlvgZ
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,I Dreamt We Spoke Again,6TRQPx5Z0YZ0pCQX7JbtlS
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Northern Lights,28QF5ELXqDnaBjPjGTlzAK
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Gold Rush,6x9VaGUbiSRvkLEdjeqjsN
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Soul Meets Body,5yc59J3MR3tVDPTOgwgRI5
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Transatlanticism,7DDRPKLKFIvDbNSQmnz19Y
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,The Ghosts Of Beverly Drive,6wNCdMW82LwJgFrnGqLhpJ
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Northern Lights - BT Remix,4KS0cPAvOXf8D0j5wyT8uI
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Summer Years,7znbs5T41Li5UBiVGhEACQ
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,I Will Possess Your Heart,77vYwoC7e3pVoPq8BA9CuL
