Artist,Artist_id,Song,Song_id
John Mayer,0hEurMDQu99nJRq8pTxO14,New Light,3bH4HzoZZFq8UpZmI2AMgV
John Mayer,0hEurMDQu99nJRq8pTxO14,Your Body Is a Wonderland,7vFv0yFGMJW3qVXbAd9BK9
John Mayer,0hEurMDQu99nJRq8pTxO14,Slow Dancing in a Burning Room,2jdAk8ATWIL3dwT47XpRfu
John Mayer,0hEurMDQu99nJRq8pTxO14,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",4LloVtxNZpeh7q7xdi1DQc
John Mayer,0hEurMDQu99nJRq8pTxO14,Waiting On the World to Change,5imShWWzwqfAJ9gXFpGAQh
John Mayer,0hEurMDQu99nJRq8pTxO14,Gravity,3SktMqZmo3M9zbB7oKMIF7
John Mayer,0hEurMDQu99nJRq8pTxO14,XO,7cpCU3Denug5NGZsSpQl8v
John Mayer,0hEurMDQu99nJRq8pTxO14,In the Blood,77Y57qRJBvkGCUw9qs0qMg
John Mayer,0hEurMDQu99nJRq8pTxO14,Who Says,0HLWvLKQWpFdPhgk6ym58n
John Mayer,0hEurMDQu99nJRq8pTxO14,Love on the Weekend,0oiCeOPwm4zhwfyIpAE37y
