Artist,Artist_id,Song,Song_id
Sugarland,0hYxQe3AK5jBPCr5MumLHD,Babe,0SoK5u8MD2VVikNPwXBz74
Sugarland,0hYxQe3AK5jBPCr5MumLHD,Stuck Like Glue,0JcKdUGNR7zI4jJDLyYXbi
Sugarland,0hYxQe3AK5jBPCr5MumLHD,Stay,0jn2XqaHliEpWd04ZykIHy
Sugarland,0hYxQe3AK5jBPCr5MumLHD,All I Want To Do,1mJ05BN0So26a14iib85aI
Sugarland,0hYxQe3AK5jBPCr5MumLHD,Something More,3C3oknuBLo3jxhmRk67glu
Sugarland,0hYxQe3AK5jBPCr5MumLHD,Baby Girl - 2nd Version/Remix/Album Version,5x6zdbGeaOpX3XeZmz4wck
Sugarland,0hYxQe3AK5jBPCr5MumLHD,Still The Same,186C3lhmeaKaFVYt3lWpY5
Sugarland,0hYxQe3AK5jBPCr5MumLHD,Want To,3kqLybBT5LRSB9QCoR3ojK
Sugarland,0hYxQe3AK5jBPCr5MumLHD,Baby Girl - 3rd Version/Remix/Single Version,6qQIH999KekS3qFWqR5qMO
Sugarland,0hYxQe3AK5jBPCr5MumLHD,It Happens,1I66zFfRohnb8kwJV3vrV4
