Artist,Artist_id,Song,Song_id
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Overdue (with Travis Scott),6LyAwkJsHlW7RQ8S1cYAtM
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Dreamcatcher (feat. Swae Lee & Travis Scott),22ykS8KWpd2r4zcRZ0XMK5
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Ghostface Killers,5u6vkDnOyaf8LsteDAj2ub
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,X (feat. Future),6fwdbPMwP1zVStm8FybmkO
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,"No More (feat. Travis Scott, Kodak Black & 21 Savage)",42k9e2hgl98IdgkXLg4pxs
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,No Heart,4gmmRb6bZJffOOiww1JGTO
