Artist,Artist_id,Song,Song_id
Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,I Got It Bad And That Ain't Good,2kpaRWsZTE96rmw0NBfP0c
Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Quiet Nights Of Quiet Stars (Corcovado),6MH0J3KUfEVWpz7XEpHOJW
Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,There Will Never Be Another You,2OBUpxxF0TgWmdxp5YAZ31
Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Triste,7z4EbJbnbvWcP9Bg15fpgC
Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,All the Things You Are,3TSdkwPeUfvgLwNTF8gfC0
Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Georgia On My Mind,5v5h0IdOAo0pK8a7i2esZG
Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Hymn To Freedom,2T1ACKqq6GEozD390n16Ve
Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Girl From Ipanema,04n2zZCoMIw7r0NNTN1hMg
Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Night Train,4SprwwMCLh4sGgS4lbuTe9
Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Children's Game,6rjdAaL8FDYOlRHVJ8WpiA
