Artist,Artist_id,Song,Song_id
The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Rivers and Roads,20svOpmCQao5GUBgSu8zDe
The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,All We Ever Knew,72zmwnbXjx9fMUjw3mbDSs
The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Lost in My Mind,77hI6DJ12C9WohWk8XUhto
The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Don't Dream It's Over,4b1hVHiZrltoXPDskF0mCp
The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Another Story,1JxNWpK9xTWKRPoYTIX4Qk
The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Shake,5m1L3o7fOfLFyw6VwumROL
The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Down in the Valley,6soFQo67vXsBPU5hRVnYLt
The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Rhythm & Blues,5bAJhDTVCWVScr5Ev4LnB2
The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Library Magic,4HjEsfSpWo8gvZMr9SA3a1
The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Let's Be Still,5IJnj6Um7jVuRPT4WGj1z6
