Artist,Artist_id,Song,Song_id
Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Love Me Right,2xWVD6aecDSHroyPVVcPpa
Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Lose My Cool,3G9zeErd0kMx012kmYUrm7
Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Love Is Stronger Than Pride,12S0avZgcxEa4lJXC37tzX
Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Put You On,59nJ265OcQ7Rrms09xk8LO
Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Monsoon,04G8U1rkNbiiLNsWo2doW2
Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Way Back,15ahKSfjvqH5hfsnjyoASJ
Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,High On Your Love,4DyxpCYqN8EycTiP8DqCTe
Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Can You Hear Me?,7EylApIgCvOGodzaRV35Hy
Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Lose My Cool - Franc Moody Remix,4gdQamULpFs7WeyFGfmTCZ
Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,S P A C E,5qbNuYdT99BCBM8KwVNVW5
