Artist,Artist_id,Song,Song_id
Keith Urban,0u2FHSq3ln94y5Q57xazwf,Blue Ain't Your Color,6wycnu8FWXsj68ig7BEot9
Keith Urban,0u2FHSq3ln94y5Q57xazwf,Parallel Line,567gPvGfxxKoZxDKqM9tEl
Keith Urban,0u2FHSq3ln94y5Q57xazwf,Never Comin Down,1QJvq84l7YcVCyIkGA602c
Keith Urban,0u2FHSq3ln94y5Q57xazwf,Coming Home,4pWb8UZ6IPVJA3CPjCNgzq
Keith Urban,0u2FHSq3ln94y5Q57xazwf,The Fighter,5OUSPcqhYTOzpbXzoEvKim
Keith Urban,0u2FHSq3ln94y5Q57xazwf,Female,1t34UsQ634a233qysq6D6L
Keith Urban,0u2FHSq3ln94y5Q57xazwf,Somebody Like You,0b9djfiuDIMw1zKH6gV74g
Keith Urban,0u2FHSq3ln94y5Q57xazwf,"John Cougar, John Deere, John 3:16",72f7jNxopSGvbx3M35i3Zl
Keith Urban,0u2FHSq3ln94y5Q57xazwf,Cop Car,5vCgOg9VqRaAUbnflCO6P3
Keith Urban,0u2FHSq3ln94y5Q57xazwf,Wasted Time,13wYXGimJ5fANFu0y2pqG1
