Artist,Artist_id,Song,Song_id
Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,Santa Baby (with Henri Ren & His Orchestra),1foCxQtxBweJtZmdxhEHVO
Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,C'est Si Bon,3U69pCQwveSOn5bl9VAime
Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,Je Cherche Un Homme,3dlZQnkxnxZjTV860ixUHx
Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,I Want to Be Evil,3H8BLMeJCoXQsozaXi2xzy
Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,The Girl from Ipanema,1aucqAQImjlcxcQajOBUAv
Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,Santa Baby - Edit,3PGHANHci0N4BICY7wukka
Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,Snuff Out the Light (Yzma's Song),0hOWQlVKKyeHYZlh8TlBi4
Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,Let's Do It,1f1ybry2mOfAgP3qBFMiKc
Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,Avril au Portugal),6Xh5lzUYcznhryhAlx7Hw3
Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,Careless Love,7tJZjbc9ildUrd8KBaR18n
