Artist,Artist_id,Song,Song_id
Michael Bubl,1GxkXlMwML1oSg5eLPiAz3,It's Beginning To Look A Lot Like Christmas,0lLdorYw7lVrJydTINhWdI
Michael Bubl,1GxkXlMwML1oSg5eLPiAz3,Holly Jolly Christmas,6tjituizSxwSmBB5vtgHZE
Michael Bubl,1GxkXlMwML1oSg5eLPiAz3,Santa Claus Is Coming To Town,5Ber68jZ7ytegr2UISEdb7
Michael Bubl,1GxkXlMwML1oSg5eLPiAz3,Jingle Bells (feat. The Puppini Sisters),4qBejt9FeqLI9blHI1Nq1x
Michael Bubl,1GxkXlMwML1oSg5eLPiAz3,Cold December Night,4FPrAERfkPKOBKrRoyuxLu
Michael Bubl,1GxkXlMwML1oSg5eLPiAz3,Haven't Met You Yet,4fIWvT19w9PR0VVBuPYpWA
Michael Bubl,1GxkXlMwML1oSg5eLPiAz3,All I Want For Christmas Is You,0xPaZrF25ltzvz1a2Pm5DQ
Michael Bubl,1GxkXlMwML1oSg5eLPiAz3,White Christmas (Duet With Shania Twain),2gbCG4Rt9984UZ7Tc0dIFd
Michael Bubl,1GxkXlMwML1oSg5eLPiAz3,Christmas (Baby Please Come Home),66WPXyhXqMlkM1kZhyEXWK
Michael Bubl,1GxkXlMwML1oSg5eLPiAz3,Love You Anymore,7JEUg9KqmpdIE5Nbb9ss66
