Artist,Artist_id,Song,Song_id
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,God Bless the Child - Remastered,7DUGRxCf9NFJffb5Eei8Ar
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,On The Sunny Side Of The Street,38R2EViAkYOFG8ZkG3GLtW
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,St. Thomas,5bUNvFQYiAqJWZ4cQ9MlSZ
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,Manhattan,6BmigYi3LRJ77xibqSX6OV
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,Blues For Philly Joe,2VO0LIY2tDeHiR6VCTNNAb
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,The Night Has a Thousand Eyes,4q3bQmZzugXcHtgUef53wq
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,Without a Song - Remastered,6NeCoPvzhTHcBu3RFzbY3X
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,Where Are You - Remastered,3EvT0m0eRWFtdXA89M2sk8
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,St. Thomas,05LNBtMuc26HSAHh7C6iG8
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,The Bridge - Remastered,3lW1WztiEqcqN7UFZxfUiQ
