Artist,Artist_id,Song,Song_id
$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,Kill Yourself (Part III),5XAPpyIoYF3QXP34Hv8Pvx
$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,Paris,4irYeuAi87yyGHcI4h9s0x
$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,2nd Hand,4yORBk6ZyYsJpnJchyZevc
$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,122 Days,1ZKueMWFwl6qPxczBLqJII
$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,Carrollton,7wPHEEGn0rWMZEDrDcOaDa
$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,Nicotine Patches,53AiGAa0Qi2VbX7eUpur1U
$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,Mount Sinai,4owRIrDAJPqNWGf2SGC3H8
$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,Meet Mr. NICEGUY,6VFKlX5qzxwmIiezqeqNYG
$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,Scrape,6o6DWg7TwbWNOXKNQw0sFa
$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,O Pana!,2I12vOWeJU5ayhr6ha6esf
