Artist,Artist_id,Song,Song_id
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Scott Street,0jqFM7E9z1PLYtPVCuFwAi
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Motion Sickness,6LxcPUqx6noURdA5qc4BAT
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Souvenir,1JPRgRUK044O15wgv8uZO1
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Motion Sickness (Demo - Bonus Track),2JxSX1MtCIAxHGlas7ysJs
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Me & My Dog,4q9w3UGW3utmeUruBLUoZZ
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Smoke Signals,5g97GAdru7XfeJyJhViIll
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Bite The Hand,1XD0F6XGQFj1kG4KKjnB4s
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Demi Moore,333xp1EUizwmpNf4fZYClT
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Salt In The Wound,4163mASWo9Bx3sCCpnyNa4
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,"Ketchum, ID",6SBITkcYSlE5hz0ZpoFZ8f
