Artist,Artist_id,Song,Song_id
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Molly (feat. Brendon Urie of Panic at the Disco),0NBiC3zLXoBQXBjsbnbwJq
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),6AoYWCzsDls6c61Zp5qTuU
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Professional Rapper (feat. Snoop Dogg),1Ysc1uDZtf430TGavoS1j4
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Lemme Freak,0egGmGkZ8maYdEYo4RrVsZ
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Pillow Talking (feat. Brain),4lh1PamTsomWbFpkOPyfrD
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,White Crime,1tA9cQEtQPvUdcndCUcP9E
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Bruh...,7F6oEeRgjOoesYz8qOov7p
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Personality (feat. T Pain),5NLT6uux4omoMlIFlBxRSI
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Who Knew,2AqGzt3g1L447rpkfqByiR
