Artist,Artist_id,Song,Song_id
Meek Mill,20sxb77xiYeusSH8cVdatc,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc
Meek Mill,20sxb77xiYeusSH8cVdatc,On Me (feat. Cardi B),3DnZfpfe8wLeJgzc00gKeW
Meek Mill,20sxb77xiYeusSH8cVdatc,What's Free (feat. Rick Ross & Jay Z),4iQ5gmTAzWfK8JyFC2LBox
Meek Mill,20sxb77xiYeusSH8cVdatc,Dangerous (feat. Jeremih and PnB Rock),3lb5fWSG2p7x8ik8HN9oFR
Meek Mill,20sxb77xiYeusSH8cVdatc,Uptown Vibes (feat. Fabolous & Anuel AA),2tnlNVAhuQGgoFJxALVeXx
Meek Mill,20sxb77xiYeusSH8cVdatc,Intro,3EQ9QP2E7wjYQba8OSPBst
Meek Mill,20sxb77xiYeusSH8cVdatc,Respect The Game,6pUBrvKfJL4qmn95mxU7rC
Meek Mill,20sxb77xiYeusSH8cVdatc,Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U
Meek Mill,20sxb77xiYeusSH8cVdatc,Tic Tac Toe (feat. Kodak Black),35J4wXQeRuHNOEArMy6FOe
Meek Mill,20sxb77xiYeusSH8cVdatc,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",3i1B1PnsfnOQPGVIzhf1lr
