Artist,Artist_id,Song,Song_id
Post Malone,246dkjvS1zLTtiykXe5h60,Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8
Post Malone,246dkjvS1zLTtiykXe5h60,Better Now,7dt6x5M1jzdTEt8oCbisTK
Post Malone,246dkjvS1zLTtiykXe5h60,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt
Post Malone,246dkjvS1zLTtiykXe5h60,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C
Post Malone,246dkjvS1zLTtiykXe5h60,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh
Post Malone,246dkjvS1zLTtiykXe5h60,Congratulations,3a1lNhkSLSkpJE4MSHpDu9
Post Malone,246dkjvS1zLTtiykXe5h60,Candy Paint,32lItqlMi4LBhb4k0BaSaC
Post Malone,246dkjvS1zLTtiykXe5h60,Ball For Me (feat. Nicki Minaj),6IaieqiCVvsNvEt6Y7yOFa
Post Malone,246dkjvS1zLTtiykXe5h60,Go Flex,5yuShbu70mtHXY0yLzCQLQ
Post Malone,246dkjvS1zLTtiykXe5h60,Stay,4H7WNRErSbONkM06blBoGc
