Artist,Artist_id,Song,Song_id
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Trouble,5n0CTysih20NYdT2S0Wpe8
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Cold Cold Cold,1Q3t9fWvHUXKsMmpD2XpUu
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Come a Little Closer,4sebUbjqbcgDSwG6PbSGI0
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Too Late To Say Goodbye,48sc7vBJeNoCEQhxO3zYKA
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Mess Around,0X0Lz7LwpiIWcdGqVWaxXD
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Sweetie Little Jean,4dpEYOPcmHNfvERbiajp3G
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Shake Me Down,1Hb1IJ9bBCa6wo3fRtexnJ
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Whole Wide World - Unpeeled,5atlAt28h9xM5wxPspr5MU
