Artist,Artist_id,Song,Song_id
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Live Sheck Wes,1dhO5lyN2Otv4qR0xWQXH7
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Chippi Chippi,2iPTGIzI5LBeEVz2q5xYLF
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Gmail,1oU2vrVzQxqoZJZSw80Ven
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Do That,3iVq1zq46q0auo3VwixXFe
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Kyrie,3cT2KPDofP6iN0zfxAoALu
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Wanted,1DoNKjifmWST4iJJw90FK4
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Mindfucker,3Ahh4FUw5EfmjMzOBjjnwY
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Burn Slow - Interlude,0XAa1kzZqjF4VpDpdlUmGM
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Fuck Everybody,2Jfh9yp7NlybHeRiWl5bZJ
