Artist,Artist_id,Song,Song_id
Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Cantaloupe Island - Remastered 1999/Rudy Van Gelder Edition,0sCeNwt8xRCMR4NhKpMyBe
Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Maiden Voyage - Remastered 1999/Rudy Van Gelder Edition,0T1EaGm6b9eM7xBf4F1hlc
Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Watermelon Man,2zQl59dZMzwhrmeSBEgiXY
Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Chameleon,4Ce66JznW8QbeyTdSzdGwR
Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Doin' It,3qQVUOHJdgIFWJd0jrG9GE
Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Rockit,2nWHzbBWBOePUvAImQv2So
Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Dolphin Dance - Remastered 1999/Rudy Van Gelder Edition,1Ku5vu9Crncz8ixeT4Ijxc
Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Watermelon Man,38xcUjiTP1ivfb7ObwjyGA
Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Alone And I - Remastered 2004,4IXZjNVYILadTUH7AaF32o
Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,I Thought It Was You,0taRW8bPp2xW6ewm6PDMTZ
