Artist,Artist_id,Song,Song_id
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,"Courtesy Of The Red, White And Blue (The Angry American)",0M7mWKqwTIaVjYyxfZmtTa
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Should've Been A Cowboy,69ku805AjIcFQh0IfkGohf
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,As Good As I Once Was,7G6l2FtQyRhQgYgut2I6i8
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Beer For My Horses,7E2DqvnVtbIrFrL5X6YH9Q
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Red Solo Cup,47nm8czanMUzIqHsnr5x61
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Made In America,68iwafs32FXpAIDWqU8wdU
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,American Soldier,4WygRabom8WGpPb44r40sK
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,I Love This Bar,1KlCaFgBM9VouwAcqBagQV
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,American Ride,1vD4DN56ued7pQklJBDesw
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,I Wanna Talk About Me,4LYVmQvqgrgleZvXttn6PB
