Artist,Artist_id,Song,Song_id
The Manhattan Transfer,2dogRElUKV20C2khRHqjRc,Chanson d'Amour,2nyoYdCYZXrdiLwNDw9t12
The Manhattan Transfer,2dogRElUKV20C2khRHqjRc,Soul Food To Go (Sina),05OBxW7hwXnaoN1Uu6X8yy
The Manhattan Transfer,2dogRElUKV20C2khRHqjRc,Tuxedo Junction,5qDNH9eQkseIjwZ4BqCsNm
The Manhattan Transfer,2dogRElUKV20C2khRHqjRc,Smile Again,4D6mYyZW7IAa4A1gjUsrBa
The Manhattan Transfer,2dogRElUKV20C2khRHqjRc,Boy From New York City,789rrmLbXaEeyqMXmPTm7P
The Manhattan Transfer,2dogRElUKV20C2khRHqjRc,Four Brothers,5XacefyOiAQ7FedX5wsd6e
The Manhattan Transfer,2dogRElUKV20C2khRHqjRc,Cantaloop (Flip Out!),43nxSkjeH3w9ZxFtHIWhmg
The Manhattan Transfer,2dogRElUKV20C2khRHqjRc,Birdland,5p06MFktCbpCPPWmkfVr9T
The Manhattan Transfer,2dogRElUKV20C2khRHqjRc,Operator,2PwHGzY2H9INRbJpivax6S
The Manhattan Transfer,2dogRElUKV20C2khRHqjRc,Spice Of Life,75MIg2YDGjGwQU2s38Tv7V
