Artist,Artist_id,Song,Song_id
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Nights,7eqoqGkKwgOaWNNHx90uEZ
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Pink + White,3xKsf9qdS1CyvXSMEid6g8
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Ivy,2ZWlPOoWh0626oTaHrnl2a
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Chanel,6Nle9hKrkL1wQpwNfEkxjh
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Self Control,5GUYJTQap5F3RDQiCOJhrS
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Nikes,19YKaevk2bce4odJkP5L22
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Novacane,4osgfFTICMkcGbbigdsa53
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Solo,35xSkNIXi504fcEwz9USRB
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Provider,6R6ihJhRbgu7JxJKIbW57w
