Artist,Artist_id,Song,Song_id
Derek & The Dominos,2rc78XDH9zuJP6bm78lU8Z,Layla - 40th Anniversary Version / 2010 Remastered,2kkvB3RNRzwjFdGhaUA0tz
Derek & The Dominos,2rc78XDH9zuJP6bm78lU8Z,Bell Bottom Blues - 40th Anniversary Version / 2010 Remastered,2YJgM8lj4u5YEZRSHSfL60
Derek & The Dominos,2rc78XDH9zuJP6bm78lU8Z,Layla,7Lh4K1i0C3FWWNQ4ZvFVIC
Derek & The Dominos,2rc78XDH9zuJP6bm78lU8Z,Have You Ever Loved A Woman? - 40th Anniversary Version / 2010 Remastered,2ROJOb98GorxStuOuZWcGd
Derek & The Dominos,2rc78XDH9zuJP6bm78lU8Z,I Looked Away - 40th Anniversary Version / 2010 Remastered,2xNruEPnV3JHJ9qvHvcEF3
Derek & The Dominos,2rc78XDH9zuJP6bm78lU8Z,Keep On Growing - Remixed Version,7fRN3zdAkbMSB4fjk2YaD6
Derek & The Dominos,2rc78XDH9zuJP6bm78lU8Z,Why Does Love Got To Be So Sad? - 40th Anniversary Version / 2010 Remastered,6S5DtyJNXTgHEXIVUToAPP
Derek & The Dominos,2rc78XDH9zuJP6bm78lU8Z,Nobody Knows You When You're Down And Out - 40th Anniversary Version / 2010 Remastered,0xvRoqvLmijll3D5qTnrRP
Derek & The Dominos,2rc78XDH9zuJP6bm78lU8Z,Keep On Growing - 40th Anniversary Version / 2010 Remastered,6QwOmMMlQ9dlZlS12yFc2b
Derek & The Dominos,2rc78XDH9zuJP6bm78lU8Z,Little Wing - 40th Anniversary Version / 2010 Remastered,2Wq9vCNpcpJOhsZb1JvLhH
