Artist,Artist_id,Song,Song_id
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,KEKE,14PlDNjNh3pXyHXzkhX8n5
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Pull Up (feat. NAV),0WnV4YotgHecDIzfihlcjn
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,My Shit,5uQOauh47VFt3B2kV9kRXw
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",5de7ci7TFqbQ1PFgKAD7MR
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Still Think About You,2FTeQQ5Rg9tBpgpTF5mnhE
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),1AH60dMaEfNjzDoUIFwIQi
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Jungle,5uZm7EFtP5aoTJvx5gv9Xf
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Say A',3AMnOVxEHUgVrythGgqPhI
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Lovin' (feat. A Boogie Wit da Hoodie),2bwN9oZIn9XXSd8RlJ4FDM
