Artist,Artist_id,Song,Song_id
Dr. John,320TrJub4arztwXRm7kqVO,Right Place Wrong Time,0I2ELF6uHlL4ABu9aFiou7
Dr. John,320TrJub4arztwXRm7kqVO,(Everybody Wanna Get Rich) Rite Away,43jT0iAEN9eEdgtojtzbsw
Dr. John,320TrJub4arztwXRm7kqVO,"Down in New Orleans - From ""The Princess and the Frog""/Soundtrack Version",4T9Jpft8jvZAP57aE3VdCt
Dr. John,320TrJub4arztwXRm7kqVO,Will The Circle Be Unbroken - Live,6qsIvR5nOciPp7ci0M3NNj
Dr. John,320TrJub4arztwXRm7kqVO,Such A Night,3GppcLIGlSlvujXgR0pPRt
Dr. John,320TrJub4arztwXRm7kqVO,Creole Moon,7uf7sRGi0DkGgTOTSjrBUG
Dr. John,320TrJub4arztwXRm7kqVO,Iko Iko,1vhlVbHnbKJPD7pqCC0cE7
Dr. John,320TrJub4arztwXRm7kqVO,I Walk On Guilded Splinters,0OSNN0ABo1HMgfGeMQ3pCr
Dr. John,320TrJub4arztwXRm7kqVO,Big Chief,5QepcFT1p5DRzhtL0Bv3ix
Dr. John,320TrJub4arztwXRm7kqVO,Mama Roux,1RMa7sVQua8dMiqixX2bYM
