Artist,Artist_id,Song,Song_id
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,Tea for Two,0Otf1ZfYNIjhqFIuJk0fsy
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,Blue Skies,7kzag1RHJUYeY8i3KRrQKw
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,"8 Humoresques, Op. 101, B. 187: No. 7. Poco lento e grazioso in G-Flat Major (arr. A. Tatum)",4iKWIToTuo61tpdJjEgz27
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,Humoresque - Live,0v4zFxKc1OdbGG0A4DxOPd
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,In the Middle of a Kiss (arr. A. Tatum),3o9RH2Ww9U0QR6j2RqwdNd
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,Stay as Sweet as You Are (arr. A. Tatum),11NQ3WmNW99ukkcKKXHU2z
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,My Ideal,1cQU2FQP3ST2r8TZnP3CPj
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,Tiger Rag,2toW1tAUAEfjdu5q29u8m9
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,Night and Day,7FPSIZP73vAGNUK06yYXF7
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,Smoke Gets In Your Eyes,5VmrA2I5ATeAeJ01GkhXzJ
