Artist,Artist_id,Song,Song_id
Charlotte Day Wilson,3GQboECxDT1xqPPWC30p7v,Work,42YrWn7KYjhJ2GfjTJ3HSY
Charlotte Day Wilson,3GQboECxDT1xqPPWC30p7v,After All,430AnSE09cNCZ42bG27QyU
Charlotte Day Wilson,3GQboECxDT1xqPPWC30p7v,Doubt,6kgLcuTv6qe1I3xAKaII8S
Charlotte Day Wilson,3GQboECxDT1xqPPWC30p7v,Where Do You Go,2um4ISitgBDdMSZaiPyaIb
Charlotte Day Wilson,3GQboECxDT1xqPPWC30p7v,Nothing New,5eICircAQT9O0gIlTzxf58
Charlotte Day Wilson,3GQboECxDT1xqPPWC30p7v,Stone Woman,7w7S2IeknfGSEEltS9c8wg
Charlotte Day Wilson,3GQboECxDT1xqPPWC30p7v,Find You,6rO4aSH2XgiTqj8QtnLcbi
Charlotte Day Wilson,3GQboECxDT1xqPPWC30p7v,In Your Eyes,3ASXl6RsPDxZElS8Qmv2UB
Charlotte Day Wilson,3GQboECxDT1xqPPWC30p7v,Funeral,6DpQe7m5AHmIpah83YayrQ
Charlotte Day Wilson,3GQboECxDT1xqPPWC30p7v,Let You Down,4PyEYFLH95hBekIp3M7cFL
