Artist,Artist_id,Song,Song_id
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Have You Ever Seen The Rain,5DnT9a5IM3eMjKgXTWVJvi
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Down On The Corner,2gE95JskwQ1pCACTpGe1Db
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Bad Moon Rising,66FSV5dLK5sNLZ00IfHxfD
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Up Around The Bend,36gPq8WG7tDxrblyGVUCiT
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Proud Mary,2EZc13S7YRi6bTS3SKteRN
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Lookin' Out My Back Door,3RTUfvRgq3pYTf7XY0FIcS
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Who'll Stop The Rain,3Bh6uInhcVBVvLraGZdkKD
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Cotton Fields,3vO2BbrhKNV2PDl276BUIZ
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Run Through The Jungle,6J0AjzrYsPZrQtw6IjErhy
