Artist,Artist_id,Song,Song_id
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,Chamber Of Reflection,1MJ5f5EYBC92ADD6xcz7nb
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,My Kind of Woman,2OFrAsP5Vrcb0DtsPNsm54
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,Salad Days,4keAoywVf4jxRvXU7ON0hV
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,Still Beating,2N4idqj9TT3HnH2OFT9j0v
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,Freaking Out the Neighborhood,25SJaCCPiosugnlY53VhRG
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,Ode to Viceroy,601KiLiZtBJRTXBrTjeieP
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,This Old Dog,1KTMZ2DeqT4oqIJ7Co5F6R
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,On the Level,36rqjSUBaArtMBLWrzwInc
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,Blue Boy,1CKm95B5JmaSCnZLquInM4
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,For the First Time,4LB5cNN7f18wIJA2RU4iIO
