Artist,Artist_id,Song,Song_id
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Here Comes The Sun - Remastered 2009,6dGnYIeXmHdcikdzNNDMm2
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be - Remastered 2009,7iN1s7xHE4ifF5povM6A48
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Come Together - Remastered 2009,2EqlS6tkEnglzr7tkKAAYD
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Twist And Shout - Remastered 2009,5ZBeML7Lf3FMEVviTyvi8l
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,I Want To Hold Your Hand - Remastered 2015,4pbG9SUmWIvsROVLF0zF9s
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Yesterday - Remastered 2009,3BQHpFgAp4l80e1XslIjNI
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Blackbird - Remastered,5jgFfDIR6FR0gvlA56Nakr
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,In My Life - Remastered 2009,3KfbEIOC7YIv90FIfNSZpo
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,While My Guitar Gently Weeps - Remastered,389QX9Q1eUOEZ19vtzzI9O
