Artist,Artist_id,Song,Song_id
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Everything Now,7KsZHCfOitA5V9oQYVdltG
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,The Suburbs,2UWdUez9MB9yzL7Y81Mcip
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Wake Up,6Hmj7SrLRbreLVfVS7mV1S
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Rebellion (Lies),0xOeB16JDbBJBJKSdHbElT
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Put Your Money on Me,0SaEmR2rdtfsZawPjMYkWg
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Creature Comfort,2voWPWlDfIthC6GUjaIQyV
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Ready to Start,01wsKcJ8ptqUmatpJlEGYj
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Electric Blue,0KWcRXcnGoB0gWSu4mshF8
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Sprawl II (Mountains Beyond Mountains),0U0p8weaMIbIFMJ0CPlvHV
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Neighborhood #1 (Tunnels),0WZZJ0mDKIkLfL0710ssZt
