Artist,Artist_id,Song,Song_id
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Numb / Encore,5sNESr6pQfIhL3krM8CtZn
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Ni**as In Paris,2KpCpk6HjXXLb7nnXoXA5O
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Clique - Album Version (Edited),7fuuAPjPDyLGyFaJEkSxAb
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,All The Way Up (Remix),2AYTGaclgKXACh13nJRVcV
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Renegade,5ASZFbCod633wLragmPYTj
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Points Of Authority / 99 Problems / One Step Closer,65eohvrL4ttjA7EfFkQOhX
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Dirt Off Your Shoulder / Lying From You,47SJcoi329tD5TwD6m9CJ4
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Big Pimpin' / Papercut,4DLH2fr8pWX1iksMrk47Kw
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Izzo / In The End,39sUeHQoIGY6BEIcgTMRXW
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Jigga What / Faint,4pnFRnCOfaETea25g0YSvG
