Artist,Artist_id,Song,Song_id
Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,River,0NeJjNlprGfZpeX2LQuN6c
Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Beyond,1Omt5bfz1tZUCqd26HxbS0
Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Coming Home,5EA06TsQmqmQXZiEhr1AaM
Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Forgive You,1sfTdlWfcFdI7NfmcfZPii
Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Bad Bad News,7FxzgizJRGTQ3fxUqfvljg
Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Pony - Recorded at Spotify Studios NYC,0exKMPo2iind68yWTaHCrr
Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Shy,407qAIie8sIEgquKD1AAd2
Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,If It Feels Good (Then It Must Be),72Dd7GCaepMi8ktuXxmSZF
Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Bet Ain't Worth the Hand,0VBBWt0uJxXNVb624WtOnC
Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Smooth Sailin',3JbqwFY5q0ORO3siv5zL3A
