Artist,Artist_id,Song,Song_id
Bob Seger,485uL27bPomh29R4JmQehQ,Old Time Rock & Roll,5EOoMWIB9iK4ZpcSex9Ec7
Bob Seger,485uL27bPomh29R4JmQehQ,Night Moves,6UBjSnyP1O5W5ndJoO9vUk
Bob Seger,485uL27bPomh29R4JmQehQ,Still The Same,1Ryxsiacu8pUXIMCVnIQ8J
Bob Seger,485uL27bPomh29R4JmQehQ,Turn The Page - Live In Detroit/1975,6rjMQscV8vUrjKXAsU9hNi
Bob Seger,485uL27bPomh29R4JmQehQ,Against The Wind,1SWmFiFSIBoDbQJjNKC7SR
Bob Seger,485uL27bPomh29R4JmQehQ,Ramblin' Gamblin' Man,691Wr3tOjDqic3OTPLouX3
Bob Seger,485uL27bPomh29R4JmQehQ,Hollywood Nights,5VbePtZp1at8gH990zVyTI
Bob Seger,485uL27bPomh29R4JmQehQ,Mainstreet,0XVR94voJPToKX1XoOw0ot
Bob Seger,485uL27bPomh29R4JmQehQ,You'll Accomp'ny Me,5pKo2ed3oEdFFV5L8xUA04
Bob Seger,485uL27bPomh29R4JmQehQ,Roll Me Away,3MqgFVRerrpqWHdRopk247
