Artist,Artist_id,Song,Song_id
Jack White,4FZ3j1oH43e7cukCALsCwf,Lazaretto,3T76zPJz3tWL27FrjJe2ot
Jack White,4FZ3j1oH43e7cukCALsCwf,Another Way to Die,01bMpqmvH031R417l3AQTA
Jack White,4FZ3j1oH43e7cukCALsCwf,Love Is Blindness,1kBM7AURqQTIXFePNVpEwP
Jack White,4FZ3j1oH43e7cukCALsCwf,Sixteen Saltines,3XBPCbTU9rSGuyuK7Xbj4B
Jack White,4FZ3j1oH43e7cukCALsCwf,Love Interruption,3s3ciLHOXE1xVqGkdxwHPs
Jack White,4FZ3j1oH43e7cukCALsCwf,Over and Over and Over,06k5ZWQoJ44zNYlb49zBjc
Jack White,4FZ3j1oH43e7cukCALsCwf,I'm Shakin',07AjyDeE85pDr4Dj8BzgWB
Jack White,4FZ3j1oH43e7cukCALsCwf,High Ball Stepper,4YmSnlzkU5sF4X7aAiXAuY
Jack White,4FZ3j1oH43e7cukCALsCwf,That Black Bat Licorice,4WcFUZMb0wiUZBePgnpgDa
Jack White,4FZ3j1oH43e7cukCALsCwf,Connected By Love,0A3JTAIflJc9Z7nbOVYlAh
