Artist,Artist_id,Song,Song_id
6LACK,4IVAbR2w4JJNJDDRFP3E83,OTW,6Hgh47WXVKtXN5zGOu0hjI
6LACK,4IVAbR2w4JJNJDDRFP3E83,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp
6LACK,4IVAbR2w4JJNJDDRFP3E83,Switch,29ZZAShKhwRUuKULSNtxX6
6LACK,4IVAbR2w4JJNJDDRFP3E83,PRBLMS,4AtZRwSR8BOTTQg5ihSggt
6LACK,4IVAbR2w4JJNJDDRFP3E83,East Atlanta Love Letter (feat. Future),6rJmWa5DvQ3Nby3tdcX2L0
6LACK,4IVAbR2w4JJNJDDRFP3E83,Waves (feat. 6LACK),2qHk6Nz5glNQrjW8Rhd5kv
6LACK,4IVAbR2w4JJNJDDRFP3E83,Ex Calling,1MQ8ydvrTnn2QJgXFATJvD
6LACK,4IVAbR2w4JJNJDDRFP3E83,Nonchalant,7c3K8ifIoaVZ2MSUuGo0Co
6LACK,4IVAbR2w4JJNJDDRFP3E83,Seasons (feat. Khalid),1AROE0XcC4ySCxXF65mutZ
6LACK,4IVAbR2w4JJNJDDRFP3E83,Let Her Go,0CIGZEXjZ8L52lOrqUljJt
