Artist,Artist_id,Song,Song_id
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Don't Say That (Feat. Lil Uzi Vert),5eq8CDTzJIOq0aMtwbp5Gn
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Yoppa (with BlocBoy JB),0JRn9gyDQeW9VjW4S126tT
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Rover 2.0 (feat. 21 Savage),4mt4VMndCT5kP2GwXKcECc
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Peach Jam,6dktyiCWz2JYGmcPQ5D5dY
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Shoot (Bonus),2TxIZb5ZKd8Rb10q62n4Fq
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Club Rock,2NogS7n5nLxYdJA3KV6Gy7
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Bacc Street Boys,5B22898x7nc8QcO9VjqRbI
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Let It Go,1uGooqNfg2PDfVZ0POkzuU
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Nun of Dat (feat. Lil Pump),7GSJfVVX5tA3ytAp3dKJp5
