Artist,Artist_id,Song,Song_id
Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,Scrapple From The Apple,7flQESHoCoDzirWF4IkKGq
Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,All the Things You Are,6AAxndfN25URaM9zQJfWbU
Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,Summertime,6cU4urQRUieTBH08yKHAqj
Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,Ornithology,6A1mh31895sUIYEpOfeqC3
Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,Yardbird Suite (Live),7evgKQodGSvwsbL6Cv0oed
Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,Laura,5YIhyj0uiGSJPLARP7nzte
Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,Tune Z - Alternate Take 9,43duzT8AWSXdDTqMjjA6X7
Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,Parker's Mood,6EsEPhyCrXv69thmnzR36n
Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,Confirmation,7o8bQExfJjP34n5uAwtlSr
Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,I Get A Kick Out Of You,6hL0oXTjA8S4jAQo1Yc5Zy
