Artist,Artist_id,Song,Song_id
24hrs,4isewEHTP7Az2QheDdBQ6J,Lie Detector (feat. Lil Pump),0L8e4h2RfsbyV0gVRQPndd
24hrs,4isewEHTP7Az2QheDdBQ6J,Lowkey (feat. Roy Woods & 24hrs),0IfQ3quSR1gDREyXure6Yx
24hrs,4isewEHTP7Az2QheDdBQ6J,Fifty Ball (feat. Moneybagg Yo & Smokepurpp),6yByVw3ZnJGtDD13rgbZ7j
24hrs,4isewEHTP7Az2QheDdBQ6J,What You Like (feat. Ty Dolla $ign & Wiz Khalifa),1hNVfvjUPohinr2nXYuvNk
24hrs,4isewEHTP7Az2QheDdBQ6J,Don't Sleep On Me (feat. Future and 24hrs),2c5D6B8oXAwc6easamdgVA
24hrs,4isewEHTP7Az2QheDdBQ6J,Don't Mess (feat. YG),2iztq3XUTUACFZgONwJa4h
24hrs,4isewEHTP7Az2QheDdBQ6J,Leave LA (feat. Ty Dolla $ign & Dom Kennedy),4jpCRuOZNgCTMgyyepH3D9
24hrs,4isewEHTP7Az2QheDdBQ6J,What You Like (feat. PnB Rock & MadeinTYO),1dlKS9IKWj2SKdiDwHOgGl
24hrs,4isewEHTP7Az2QheDdBQ6J,Met Gala (feat. PnB Rock),04v8uNE8v4lTOrwxKyFFih
24hrs,4isewEHTP7Az2QheDdBQ6J,Champagne (feat. MadeinTYO),2xFyotaHw3mnoEesy8kwhk
