Artist,Artist_id,Song,Song_id
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,You Can't Hurry Love - 2016 Remastered,4YwbSZaYeYja8Umyt222Qf
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,In The Air Tonight - 2015 Remastered,18AXbzPzBS8Y3AkgSxzJPb
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,Another Day In Paradise - 2016 Remastered,1NCuYqMc8hKMb4cpNTcJbD
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,You'll Be In My Heart,6LBfozDVA7crIeuaPAVVlE
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,Against All Odds (Take A Look At Me Now) - 2016 Remastered,63CHa6rmamv9OsehkRD8oz
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,Easy Lover,5LYJ631w9ps5h9tdvac7yP
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,Strangers Like Me,3E99KpWAcYEnj64e86y6u9
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,One More Night - 2016 Remastered,6fkvIT9KFKxO8poBeKfaEf
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,Sussudio - 2016 Remastered,4qM461TqtpnP4GLRIXwEnW
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,Son of Man,1m1lMBFsQmFHNEceXYHL0K
