Artist,Artist_id,Song,Song_id
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,Bad To The Bone,6s0NHplywwr1IjnQpUpWJk
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,"One Bourbon, One Scotch, One Beer",0s995gCthqnYJCWGvfKpNt
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,I Drink Alone,2nIDPfhjHZP8UOXPenLZUC
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,Who Do You Love,04YoKLr1ys5pwz3YfFI0U5
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,Move It On Over,7gfIbrRrOt4eAlQblTqB9O
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,Get A Haircut - 2000 Digital Remaster,27BuinX1CEXTLQmpUawSIG
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,I Got My Eyes On You,72HhIJoFObt1Py8MAm0d5J
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,Delaware Slide,3X9WioOj7wtaITCtuvxaqT
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,Madison Blues,30sL6BVhRXnn1UUtPlgqBe
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,Ride On Josephine,5mnuD2SFnzrD6P0H7unGpe
