Artist,Artist_id,Song,Song_id
Muddy Waters,4y6J8jwRAwO4dssiSmN91R,Mannish Boy,58PSYdY0GFg0LFb2PxYk4T
Muddy Waters,4y6J8jwRAwO4dssiSmN91R,I'm Your Hoochie Coochie Man,3KSchPNSklO5McIqRH3qYX
Muddy Waters,4y6J8jwRAwO4dssiSmN91R,I Can't Be Satisfied,0Q4qVBG7jAF3Ar4sheUidp
Muddy Waters,4y6J8jwRAwO4dssiSmN91R,(I'm Your) Hoochie Coochie Man,2ziWXUmQLrXTiYjCg2fZ2t
Muddy Waters,4y6J8jwRAwO4dssiSmN91R,Champagne & Reefer - Live,2PatEYrrVBNx5LPjTL2ruP
Muddy Waters,4y6J8jwRAwO4dssiSmN91R,Rollin' Stone,6uSBSTEnZJY0XI3IS69gBU
Muddy Waters,4y6J8jwRAwO4dssiSmN91R,Got My Mojo Working,7jOrfA53YA2y52lVwUey0k
Muddy Waters,4y6J8jwRAwO4dssiSmN91R,Mannish Boy,2CzUqhLwbY0d5BByGju4cK
Muddy Waters,4y6J8jwRAwO4dssiSmN91R,Long Distance Call,6D9G3KT1ehlmSER3pauuIf
Muddy Waters,4y6J8jwRAwO4dssiSmN91R,I Just Want To Make Love To You - Electric Mud Album Version,2HFczeynfKGiM9KF2z2K7K
