Artist,Artist_id,Song,Song_id
Macy Gray,4ylR3zwA0zaapAu94fktwa,I Try,5TAf4lnZCZTLlZHNZMLFLi
Macy Gray,4ylR3zwA0zaapAu94fktwa,Over You,64WxLGjquEiDypddXZgggY
Macy Gray,4ylR3zwA0zaapAu94fktwa,First Time,2Um1CzJYNjxvNZZWHiMXtA
Macy Gray,4ylR3zwA0zaapAu94fktwa,Sweet Baby (feat. Erykah Badu),2W9FCvuxSSXbnkj9q4Dd9N
Macy Gray,4ylR3zwA0zaapAu94fktwa,Winter Wonderland,3LeNO9pTNdYhmx52DAzMXn
Macy Gray,4ylR3zwA0zaapAu94fktwa,I Try,1VzlxfJ0bveSW9hbwCS2SU
Macy Gray,4ylR3zwA0zaapAu94fktwa,Sugar Daddy,44ROJAxh2jBDQpxgMMIiCC
Macy Gray,4ylR3zwA0zaapAu94fktwa,First Time,4zwNvRu0Shp7F4OBbFruff
Macy Gray,4ylR3zwA0zaapAu94fktwa,Still,3N0F0Q3VNFkSFqTkhQ14kq
Macy Gray,4ylR3zwA0zaapAu94fktwa,Buddha,6mrHAxrR3gWDNVy5N6MlwW
