Artist,Artist_id,Song,Song_id
Them Crooked Vultures,4zYQWYmtimAEmI6WWEzGfO,New Fang,7aPJPm0yFfRrTuBw05qVE3
Them Crooked Vultures,4zYQWYmtimAEmI6WWEzGfO,Scumbag Blues,7J828eM2cTnwYuoS8ntlxi
Them Crooked Vultures,4zYQWYmtimAEmI6WWEzGfO,No One Loves Me & Neither Do I,0Ws3haBpuaBIaRnWKrkNCg
Them Crooked Vultures,4zYQWYmtimAEmI6WWEzGfO,Elephants,09bhAUgGbKtw9NpIdnlIYZ
Them Crooked Vultures,4zYQWYmtimAEmI6WWEzGfO,Gunman,7HXu7qgFGq6TfwX3faExJf
Them Crooked Vultures,4zYQWYmtimAEmI6WWEzGfO,Bandoliers,4WjHsBRu126W3dnzJTEeAl
Them Crooked Vultures,4zYQWYmtimAEmI6WWEzGfO,Dead End Friends,4p8ZzOdHp58cn6SKdrWKzU
Them Crooked Vultures,4zYQWYmtimAEmI6WWEzGfO,"Mind Eraser, No Chaser",7xkeLkSKPa3Tr5ardcLaIj
Them Crooked Vultures,4zYQWYmtimAEmI6WWEzGfO,Spinning In Daffodils,3Sl3kjAN0mTITmD4DxFWHd
Them Crooked Vultures,4zYQWYmtimAEmI6WWEzGfO,Caligulove,5o3Ry6h5lN7Abhn3SugK6F
