Artist,Artist_id,Song,Song_id
DJ Snake,540vIaP2JwjQb9dm3aArA4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM
DJ Snake,540vIaP2JwjQb9dm3aArA4,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU
DJ Snake,540vIaP2JwjQb9dm3aArA4,Creep On Me,1MUL6DO2gVimj2YrVedubd
DJ Snake,540vIaP2JwjQb9dm3aArA4,Middle,0g5EKLgdKvNlln7TNqBByK
DJ Snake,540vIaP2JwjQb9dm3aArA4,A Different Way (with Lauv),1YMBg7rOjxzbya0fPOYfNX
DJ Snake,540vIaP2JwjQb9dm3aArA4,Magenta Riddim,4BiiDQtijdt0WdtiyIPhnO
DJ Snake,540vIaP2JwjQb9dm3aArA4,Lean On,5wldXGLEOoRXxMWJ8rIUWE
DJ Snake,540vIaP2JwjQb9dm3aArA4,Turn Down for What,67awxiNHNyjMXhVgsHuIrs
DJ Snake,540vIaP2JwjQb9dm3aArA4,You Know You Like It,57kR5SniQIbsbVoIjjOUDa
DJ Snake,540vIaP2JwjQb9dm3aArA4,Let's Get Ill,3J5AcWRzmgbq4svZt91l3e
