Artist,Artist_id,Song,Song_id
Lil Wayne,55Aa2cqylxrFIXC767Z865,Mona Lisa (feat. Kendrick Lamar),0dbTQYW3Ad1FTzIA9t90E8
Lil Wayne,55Aa2cqylxrFIXC767Z865,Uproar,3wScL5W8H40zzCKN0atfBk
Lil Wayne,55Aa2cqylxrFIXC767Z865,Don't Cry (feat. XXXTENTACION),5BQrp63SHCVf4bzCzJePne
Lil Wayne,55Aa2cqylxrFIXC767Z865,Let It Fly (feat. Travis Scott),0CBQ0m3mufWH75LTYB3s6h
Lil Wayne,55Aa2cqylxrFIXC767Z865,Dedicate,0Y7di9ZCmB6Elad5WISaPc
Lil Wayne,55Aa2cqylxrFIXC767Z865,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB
Lil Wayne,55Aa2cqylxrFIXC767Z865,Can't Be Broken,5cGpjfgAvidLy6znwkCxkP
Lil Wayne,55Aa2cqylxrFIXC767Z865,Codeine Dreaming (feat. Lil Wayne),4DTpngLjoHj5gFxEZFeD3J
Lil Wayne,55Aa2cqylxrFIXC767Z865,What About Me (feat. Sosamann),3JX0dOCIAiaR8MP3ryXWuM
Lil Wayne,55Aa2cqylxrFIXC767Z865,Famous (feat. Reginae Carter),05r1GGg1Rhs0RcUg27C82a
