Artist,Artist_id,Song,Song_id
Ty Segall,58XGUNsRNu3cVOIOYk5chx,My Lady's On Fire,2hSd5IqIBoR5Ck5EDVL4kZ
Ty Segall,58XGUNsRNu3cVOIOYk5chx,Every 1's a Winner,5kczO6LA5FGU3iEAxrAhN5
Ty Segall,58XGUNsRNu3cVOIOYk5chx,Finger,1osYkIYegkLLnPutvItBta
Ty Segall,58XGUNsRNu3cVOIOYk5chx,Girlfriend,5vEE1d5gkv3pgfZyppLeX8
Ty Segall,58XGUNsRNu3cVOIOYk5chx,Caesar,1MQeShIRRYCcaSs4XzWldh
Ty Segall,58XGUNsRNu3cVOIOYk5chx,The Singer,397B7DNRh8RwGGnSH02hfZ
Ty Segall,58XGUNsRNu3cVOIOYk5chx,Black Magick,3P54LHhrEMsinI1ikfpC6y
Ty Segall,58XGUNsRNu3cVOIOYk5chx,Body Behavior,44LEFZgUTz9LQYXlwnSvFM
Ty Segall,58XGUNsRNu3cVOIOYk5chx,Hit It and Quit It,0JnYzMYChOTG10sLBwNcl5
Ty Segall,58XGUNsRNu3cVOIOYk5chx,Isolation,3oRNQCNvmRqWkPXnwLgKTA
