Artist,Artist_id,Song,Song_id
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,I Will Not Bow,2yXyz4NLTZx9CLdXfLTp5E
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,The Diary of Jane - Single Version,0faXHILILebCGnJBPU6KJJ
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,Blood,7gQ7DfSSc3b8e4cHtFnDxu
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,Angels Fall,2D9BrlpeyjXF0vli2dYQ5V
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,Red Cold River,6ZfPmIbwzz6fopTNwAJTPs
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,Ashes of Eden,7HjNOz8Y7H7uSySXuHNg1Y
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,Torn in Two,3IiMnjK7S2PlsPVMuAH7rU
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,Feed the Wolf,7rOv6HovIJvYHXCg0cVfTk
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,Failure,4wh0E9OwMCxcaIKTg0Mts9
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,The Dark of You,7egnrHJAANlNymbrmQNKcG
