Artist,Artist_id,Song,Song_id
Estelle,5T0MSzX9RC5NA6gAI6irSn,American Boy,22UDw8rSfLbUsaAGTXQ4Z8
Estelle,5T0MSzX9RC5NA6gAI6irSn,Meet Up (feat. Maleek Berry),4x0Ieo2LOCB2QI4FvKOTGq
Estelle,5T0MSzX9RC5NA6gAI6irSn,Better,61UHB14iaEoll9GAJOrQ3T
Estelle,5T0MSzX9RC5NA6gAI6irSn,Freak,0u6aI1ygDe8d8AYZNavYGT
Estelle,5T0MSzX9RC5NA6gAI6irSn,Love Like Ours (feat. Tarrus Riley),37VO1ryrAAalHH8ijbG40F
Estelle,5T0MSzX9RC5NA6gAI6irSn,Come Over,6dt9L9nI35Pi9lwX05WvP2
Estelle,5T0MSzX9RC5NA6gAI6irSn,Really Want (feat. Konshens & Nick & Navi),7HqRAayh7z6AZn61N0ppJC
Estelle,5T0MSzX9RC5NA6gAI6irSn,Thank You,36qilu2idSkz767yL18Qrv
Estelle,5T0MSzX9RC5NA6gAI6irSn,Do My Thing,3nbi8TqJu1eLHYWJefcJp4
Estelle,5T0MSzX9RC5NA6gAI6irSn,Come Over - Radio Version,591UsbWG7xkXyhlL4Xtk1N
