Artist,Artist_id,Song,Song_id
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Life's Been Good,2wvMC5EyaaYQwBfiwwY2xE
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,A Life Of Illusion,19P4fwkPhE6yVAXApFWDoF
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Rocky Mountain Way,40iyxHnAaCXODDMixY1okn
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Rocky Mountain Way - Live At Santa Monica Civic Auditorium/1976,3lzOduAewOElinON9U0m7z
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Ordinary Average Guy,6LBpVY2dEIemTyGQpkBUj1
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Rivers (Of The Hidden Funk),1OMqLnz5Wu0CTpIwv0hhqa
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Turn To Stone,1QX3pVlDdU4r3qgwSZl2JC
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,The Confessor,2gBq12zOMMa5ZAl9zFMjfK
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,One Day At A Time,1z3PhiWMUpj2Lu43T3rQfK
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Two Sides To Every Story,3SBCCnz4sdk7UZG57F6FcF
