Artist,Artist_id,Song,Song_id
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Plain Jane,4dVpf9jZjcORqGTLUaeYj9
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Ned Flanders (feat. A$AP Ferg),2EUNZfjPToKZIahK0WMLKd
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Work REMIX,7xVLFuuYdAvcTfcP3IG3dS
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Plain Jane REMIX,2YzmfPLqUx5CJOaw5ThsBV
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Boca Raton (with A$AP Ferg),72ic9IhRix05fIkRzGGMXD
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,"Runnin (with A$AP Rocky, A$AP Ferg & Nicki Minaj)",23dwrzeJtEEGl2U4CPWSor
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Shabba,7eaKWfov7b2Qa2n6HTesL3
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,New Level,25rc1PFgPvtV6GFSloyOI0
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,What Do You Do,4gpmL5xSZeHssgyIP3UuPS
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Pull Up (feat. Joey Bada$$ & A$AP Ferg),6lM1G8kF3xCUW20lIRfoBm
