Artist,Artist_id,Song,Song_id
Shania Twain,5e4Dhzv426EvQe3aDb64jL,Man! I Feel Like A Woman!,0IF0vGwaJQ8ZCh0QxhW6OV
Shania Twain,5e4Dhzv426EvQe3aDb64jL,You're Still The One,7wCH9DbgRs7ujHeqNy6oAS
Shania Twain,5e4Dhzv426EvQe3aDb64jL,That Don't Impress Me Much,0KvLsZYwodakWxOQUYAR5I
Shania Twain,5e4Dhzv426EvQe3aDb64jL,Any Man Of Mine,0pdfN7nOHMYmKykzu1cyfm
Shania Twain,5e4Dhzv426EvQe3aDb64jL,From This Moment On - Pop On-Tour Version,0vswnzoKvhNkT1ehc0Tt19
Shania Twain,5e4Dhzv426EvQe3aDb64jL,From This Moment On,7n2vETKqnlDt4670aVs5n5
Shania Twain,5e4Dhzv426EvQe3aDb64jL,"Honey, I'm Home",2lvJIKJYyV9gkQVN1NoSMg
Shania Twain,5e4Dhzv426EvQe3aDb64jL,Life's About To Get Good,4h5uOWibuxo0qrtejla7Pb
Shania Twain,5e4Dhzv426EvQe3aDb64jL,Whose Bed Have Your Boots Been Under?,2ugGNNwNaJdiusX3aLOMUy
Shania Twain,5e4Dhzv426EvQe3aDb64jL,Don't Be Stupid (You Know I Love You),2cngJ0gAhCZOpamv9mEyby
