Artist,Artist_id,Song,Song_id
Lil Baby,5f7VJjfbwm532GiveGC0ZK,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE
Lil Baby,5f7VJjfbwm532GiveGC0ZK,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ
Lil Baby,5f7VJjfbwm532GiveGC0ZK,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ
Lil Baby,5f7VJjfbwm532GiveGC0ZK,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A
Lil Baby,5f7VJjfbwm532GiveGC0ZK,Life Goes On,2bSk87AVkCIIC3Bcligq1z
Lil Baby,5f7VJjfbwm532GiveGC0ZK,Freestyle,5BbdKBZO0TH0GhfxUfyhL9
Lil Baby,5f7VJjfbwm532GiveGC0ZK,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),6PoKfDY78ih5OveWirggRX
Lil Baby,5f7VJjfbwm532GiveGC0ZK,Business Is Business (Lil Baby & Gunna),7roKDmJDOzkpfGpUQJ5EnL
Lil Baby,5f7VJjfbwm532GiveGC0ZK,I Am (Lil Baby & Gunna),3F57PtOdqRpD6euFYqtKXX
Lil Baby,5f7VJjfbwm532GiveGC0ZK,Belly (Lil Baby & Gunna),1yQvL8SzbF5JCroRKk9F07
