Artist,Artist_id,Song,Song_id
Anderson East,5q6z6GTth6lMbL9I8CAgby,This Too Shall Last,0CuXzMEgFzuQhLEYQHYas4
Anderson East,5q6z6GTth6lMbL9I8CAgby,All On My Mind,5GRPAVCMwnUNvIOKzDYYSb
Anderson East,5q6z6GTth6lMbL9I8CAgby,"What Would It Take - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",5DSYSJvmhIWkPmfPfDct2m
Anderson East,5q6z6GTth6lMbL9I8CAgby,Girlfriend,0usJbmjMMRdC89y8sUsldR
Anderson East,5q6z6GTth6lMbL9I8CAgby,All On My Mind - Acoustic,4piJ8pnoRvC5sqMEpbH0FA
Anderson East,5q6z6GTth6lMbL9I8CAgby,Always Be My Baby - Recorded at Sound Stage Nashville,3QSnkhUvoPS5QogonimPfk
Anderson East,5q6z6GTth6lMbL9I8CAgby,Satisfy Me,0OsGdYAv9kY6BxLlMg9622
Anderson East,5q6z6GTth6lMbL9I8CAgby,Devil In Me,3LcrBMmEejUO09Lrmyixzb
Anderson East,5q6z6GTth6lMbL9I8CAgby,King For A Day,6QYYVuvynDJctOwwUTLfhX
Anderson East,5q6z6GTth6lMbL9I8CAgby,If You Keep Leaving Me,6uNvRpERbXUapVodQrEgJy
