Artist,Artist_id,Song,Song_id
Two Feet,5sWHDYs0csV6RS48xBl0tH,Go Fuck Yourself,4NZrZgrRoR4GwR7flWOXRI
Two Feet,5sWHDYs0csV6RS48xBl0tH,I Feel Like I'm Drowning,3aauaXWRgwCMoykMbI0Jq1
Two Feet,5sWHDYs0csV6RS48xBl0tH,Love Is a Bitch,6MiVIH3fQlmz44jGx2DXn4
Two Feet,5sWHDYs0csV6RS48xBl0tH,Quick Musical Doodles,7tZdkPtebOG29TzPPHlsem
Two Feet,5sWHDYs0csV6RS48xBl0tH,Had Some Drinks,6gGBL1uMBcNUOzSYfKreID
Two Feet,5sWHDYs0csV6RS48xBl0tH,Her Life,3lML37ujKr8GdxQqCYkCoz
Two Feet,5sWHDYs0csV6RS48xBl0tH,Back Of My Mind,4uj4utePoGkOSAkAIFNAB9
Two Feet,5sWHDYs0csV6RS48xBl0tH,Hurt People,16mrdTSWwfVfOiZNw84tQC
Two Feet,5sWHDYs0csV6RS48xBl0tH,You're so Cold,6ytwjgwBRxYTUxYJbbkCtf
Two Feet,5sWHDYs0csV6RS48xBl0tH,Twisted,4Zgo9uf4jURl7tjCBmUjy2
