Artist,Artist_id,Song,Song_id
Enrico Pieranunzi,5vACdMa2kY7jHnlJwqYRKP,Romance / Hommage  Milhaud,3lw4OExcjj4kba4uU9gF4P
Enrico Pieranunzi,5vACdMa2kY7jHnlJwqYRKP,I Got It Bad,5Lu9OYEHAFP6KRls828iNn
Enrico Pieranunzi,5vACdMa2kY7jHnlJwqYRKP,"Sicilyan Dream (Daprs Siciliano, BWV. 1031 de Johann Sebastian Bach)",22DgAcWnb50oKlv0F8eziW
Enrico Pieranunzi,5vACdMa2kY7jHnlJwqYRKP,Premier moment,2Cy9E8aCFcRVs8KqanrA2s
Enrico Pieranunzi,5vACdMa2kY7jHnlJwqYRKP,Passepied nouveau,0Ojn5HBy1lcILqz4m0Nj2h
Enrico Pieranunzi,5vACdMa2kY7jHnlJwqYRKP,Les amants,7qTPdVTmnoo8AXV5PckbwF
Enrico Pieranunzi,5vACdMa2kY7jHnlJwqYRKP,Rverie,1CC9182i2PGkWD5iV2Kd4V
Enrico Pieranunzi,5vACdMa2kY7jHnlJwqYRKP,Come Rose Dai Muri,16EJtLHY51K46GULZjrSUc
Enrico Pieranunzi,5vACdMa2kY7jHnlJwqYRKP,Canto nascosto,3qVA7ZG5FpuAw2oBeNSzcA
Enrico Pieranunzi,5vACdMa2kY7jHnlJwqYRKP,1re gymnopdie,4rIVLK5XNhUgmMXWXaWGIX
