Artist,Artist_id,Song,Song_id
Elley Duh,67MNhiAICFY6Pwc2YxCO0K,Happy Now,4keoy2fqgwGnbWlm3ZVZFa
Elley Duh,67MNhiAICFY6Pwc2YxCO0K,Tie Me Down (with Elley Duh),4QVS8YCpK71R4FsxSMCjhP
Elley Duh,67MNhiAICFY6Pwc2YxCO0K,Happy Now - Acoustic,6cWpGXt8X3WqHYnnDeNiKV
Elley Duh,67MNhiAICFY6Pwc2YxCO0K,SAVIOR,60uwjx3zc93kVyUtNxVOsi
Elley Duh,67MNhiAICFY6Pwc2YxCO0K,FEVER,5th4qmzqypj0mP6snOjo3e
Elley Duh,67MNhiAICFY6Pwc2YxCO0K,Strawberries,1uedxzg11sj7xpLW7N6EiR
Elley Duh,67MNhiAICFY6Pwc2YxCO0K,LOST MY MIND,6ltzTNEQ3pMDVoRcEby4oV
Elley Duh,67MNhiAICFY6Pwc2YxCO0K,WAY DOWN LOW,2iNIxgkPAinxoEBYfMsXye
Elley Duh,67MNhiAICFY6Pwc2YxCO0K,immortal - Snakehips Remix,52aLcfyEf3NvnxwlrluEB0
Elley Duh,67MNhiAICFY6Pwc2YxCO0K,immortal,62tl6Ik0zDg5U1m5E8anPp
