Artist,Artist_id,Song,Song_id
Nils Landgren,6B3ZWSop1mrJd71rwFozVP,I'd Like You for Christmas,6Vca0hBbwPYJH5qUb6V8aX
Nils Landgren,6B3ZWSop1mrJd71rwFozVP,A Child Is Born,37WxeICliZ4hRJFwAnwVGA
Nils Landgren,6B3ZWSop1mrJd71rwFozVP,I Will Survive,1o4szgHxZ53JbD3QUDQ7HE
Nils Landgren,6B3ZWSop1mrJd71rwFozVP,One Day I Fly Away,5G4mD6dNtV9V30npBbAj0i
Nils Landgren,6B3ZWSop1mrJd71rwFozVP,Killing Me Softly,15xCg0leGDHVIgimxZnxvL
Nils Landgren,6B3ZWSop1mrJd71rwFozVP,Det r En Ros Utsprungen,5nPAL7NZ2L2sTqYFhjdd4k
Nils Landgren,6B3ZWSop1mrJd71rwFozVP,Green Fields,3GlnxmxMN5nvoTLus3NYSN
Nils Landgren,6B3ZWSop1mrJd71rwFozVP,Love of My Life,2xswKfIsupPXsS16zJApYo
Nils Landgren,6B3ZWSop1mrJd71rwFozVP,I Have a Dream,0rGk1Dcxv9g0y8xBUPKzVd
Nils Landgren,6B3ZWSop1mrJd71rwFozVP,Christmas Is,6gHAoTHyEoqHDU0tVDBddx
